Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),Extinction Area (m2/kg),CO2 (kg/kg),CO (kg/kg),H2O (kg/kg),H'carbs (kg/kg),HCl (kg/kg)
0.0,214.2,,,,,,,,,,,,,
5.0,214.2,,,,,,,,,,,,,
10.0,214.112,,,,,,,,,,,,,
15.0,213.32,0.01232,,,,,,,43.0,1.26,0.0004,1.5284,0.0121,
20.0,213.32,0.35288,,,,,,,123.0,1.53,0.0014,1.2088,0.0019,
25.0,213.056,1.37808,,,,,,,202.0,1.4,0.0012,0.9678,0.0013,
30.0,212.616,1.85768,,,,,,,282.0,1.4,0.0041,1.0387,0.0019,
35.0,212.088,1.9536,,,,,,,361.0,1.05,0.0032,0.8509,0.0018,
40.0,211.56,1.89376,,,,,,,440.0,1.16,0.007,0.9328,0.0021,
45.0,210.592,1.90344,,,,,,,519.0,1.47,0.0085,1.0997,0.003,
50.0,210.592,1.96416,,,,,,,550.0,1.59,0.0153,1.2039,0.0047,
55.0,210.328,1.98176,,,,,,,538.0,1.71,0.0173,1.251,0.0051,
60.0,209.712,1.8779200000000005,,,,,,,534.0,1.18,0.0167,0.8786,0.0041,
65.0,209.272,1.7855200000000002,,,,,,,531.0,0.93,0.0149,0.7305,0.0037,
70.0,208.832,1.60424,,,,,,,518.0,1.04,0.0183,0.8256,0.0039,
75.0,208.304,1.4467200000000002,,,,,,,482.0,1.09,0.0217,0.9169,0.004,
80.0,208.216,1.3332000000000002,,,,,,,431.0,1.15,0.0224,1.0112,0.0036,
85.0,207.864,1.21968,,,,,,,388.0,0.99,0.0214,0.898,0.0028,
90.0,207.512,1.14576,,,,,,,363.0,0.94,0.0167,0.825,0.0024,
95.0,206.984,1.05336,,,,,,,349.0,1.04,0.0193,0.9811,0.0021,
100.0,206.984,0.99616,,,,,,,298.0,1.29,0.0174,1.1228,0.0024,
105.0,206.72,0.9328,,,,,,,252.0,1.44,0.0221,1.4131,0.0025,
110.0,206.632,0.9108,,,,,,,212.0,1.1,0.0107,0.965,0.0016,
115.0,206.368,0.8492000000000001,,,,,,,184.0,0.93,0.0103,0.9097,0.0014,
120.0,206.016,0.81048,,,,,,,154.0,1.04,0.0072,0.9282,0.0014,
125.0,205.84,0.76736,,,,,,,133.0,1.2,0.0081,1.0873,0.0016,
130.0,205.752,0.74888,,,,,,,110.0,0.99,0.0049,0.9385,0.0014,
135.0,205.488,0.71368,,,,,,,97.0,1.44,0.0065,1.2249,0.0017,
140.0,205.136,0.6908000000000001,,,,,,,90.0,1.44,0.0048,1.264,0.0018,
145.0,205.312,0.6934400000000001,,,,,,,77.0,2.07,0.007,1.9067,0.0027,
150.0,205.136,0.6776000000000001,,,,,,,71.0,1.87,0.0043,1.9874,0.0023,
155.0,204.96,0.6547200000000001,,,,,,,82.0,0.91,0.0019,0.7333,0.0011,
160.0,204.784,0.67848,,,,,,,109.0,1.06,0.0021,0.8603,0.0012,
