Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),Extinction Area (m2/kg),CO2 (kg/kg),CO (kg/kg),H2O (kg/kg),H'carbs (kg/kg),HCl (kg/kg)
165.0,204.344,0.71368,,,,,,,146.0,1.49,0.0029,1.2604,0.0017,
170.0,204.344,0.71016,,,,,,,166.0,1.75,0.0033,1.3551,0.0022,
175.0,204.432,0.7260000000000001,,,,,,,173.0,2.06,0.0039,1.812,0.0022,
180.0,204.08,0.7295200000000001,,,,,,,182.0,1.23,0.0033,1.2494,0.0016,
185.0,203.904,0.73128,,,,,,,188.0,1.13,0.0029,1.0028,0.0014,
190.0,203.728,0.73128,,,,,,,181.0,1.38,0.0039,1.1239,0.0015,
195.0,203.552,0.7295200000000001,,,,,,,167.0,1.16,0.0037,1.0406,0.0015,
200.0,203.376,0.73128,,,,,,,149.0,1.05,0.0038,0.9051,0.0012,
205.0,203.2,0.71368,,,,,,,128.0,1.11,0.0041,0.9667,0.0015,
210.0,202.848,0.7172000000000001,,,,,,,112.0,1.01,0.004,0.9546,0.0017,
215.0,202.848,0.69696,,,,,,,93.0,0.84,0.0031,0.8212,0.0014,
220.0,202.496,0.70224,,,,,,,80.0,0.88,0.0034,0.8377,0.0014,
225.0,202.056,0.67848,,,,,,,72.0,0.71,0.0028,0.652,0.0014,
230.0,202.056,0.69168,,,,,,,68.0,1.02,0.004,1.0085,0.0023,
235.0,201.616,0.67584,,,,,,,62.0,1.05,0.0041,1.0488,0.0024,
240.0,201.792,0.66704,,,,,,,60.0,1.03,0.0041,1.0238,0.0035,
245.0,201.264,0.6556000000000001,,,,,,,71.0,0.93,0.0033,0.8954,0.0036,
250.0,201.264,0.64064,,,,,,,96.0,0.6,0.0024,0.5526,0.0028,
255.0,200.648,0.66528,,,,,,,164.0,0.83,0.0031,0.687,0.0041,
260.0,200.208,0.69168,,,,,,,229.0,1.01,0.0047,0.8552,0.0064,
265.0,200.296,0.7233600000000001,,,,,,,260.0,1.66,0.0075,1.4057,0.0119,
270.0,200.12,0.7559200000000001,,,,,,,279.0,1.52,0.0091,1.2298,0.0128,
275.0,199.856,0.79288,,,,,,,284.0,1.02,0.006,0.8635,0.0096,
280.0,199.504,0.8351200000000001,,,,,,,280.0,0.98,0.0076,0.782,0.0088,
285.0,199.24,0.8597600000000001,,,,,,,282.0,0.86,0.0063,0.6989,0.0093,
290.0,198.888,0.91608,,,,,,,316.0,0.8,0.0073,0.6027,0.0082,
295.0,198.36,0.98296,,,,,,,362.0,0.93,0.0081,0.7165,0.0101,
300.0,197.744,0.99088,,,,,,,406.0,1.44,0.0147,1.0174,0.0149,
305.0,197.832,1.02256,,,,,,,421.0,1.76,0.0175,1.2556,0.021,
310.0,197.832,1.10616,,,,,,,411.0,1.52,0.0182,1.1493,0.0167,
315.0,197.216,1.14752,,,,,,,407.0,1.18,0.0133,0.9162,0.0157,
320.0,196.776,1.1387200000000002,,,,,,,393.0,1.09,0.0139,0.8012,0.0144,
325.0,196.512,1.15808,,,,,,,360.0,1.21,0.0151,0.9087,0.0134,
330.0,196.072,1.18888,,,,,,,323.0,1.12,0.0162,0.8479,0.0117,
335.0,195.72,1.18448,,,,,,,296.0,0.9,0.0134,0.7066,0.0114,
340.0,195.28,1.2082400000000002,,,,,,,287.0,0.86,0.0142,0.713,0.0104,
345.0,194.576,1.2135200000000002,,,,,,,281.0,0.91,0.0143,0.756,0.0112,
350.0,194.224,1.21792,,,,,,,284.0,1.01,0.0163,0.859,0.0127,
355.0,193.784,1.2496,,,,,,,301.0,1.02,0.0153,0.8513,0.011,
360.0,193.432,1.30856,,,,,,,331.0,1.07,0.016,0.8944,0.0105,
365.0,192.64,1.364,,,,,,,374.0,1.16,0.0161,0.9414,0.0119,
370.0,192.552,1.50568,,,,,,,391.0,1.27,0.0183,0.9717,0.0125,
375.0,192.024,1.6086400000000003,,,,,,,411.0,1.46,0.0204,1.0737,0.0124,
380.0,191.672,1.7028,,,,,,,426.0,1.13,0.0172,0.8189,0.0108,
385.0,191.232,1.73448,,,,,,,439.0,1.22,0.0191,0.9073,0.0118,
390.0,190.528,1.7195200000000002,,,,,,,445.0,1.3,0.021,0.9123,0.0122,
395.0,190.44,1.6843200000000005,,,,,,,423.0,1.3,0.0218,0.8857,0.0141,
400.0,189.912,1.65088,,,,,,,393.0,1.29,0.0236,0.9477,0.0145,
405.0,189.472,1.56728,,,,,,,362.0,1.12,0.0201,0.8005,0.0131,
410.0,189.032,1.48104,,,,,,,335.0,1.0,0.0182,0.706,0.0122,
415.0,188.592,1.4388,,,,,,,311.0,0.97,0.0188,0.7216,0.0115,
420.0,187.976,1.3798400000000002,,,,,,,293.0,1.04,0.019,0.7757,0.0132,
425.0,187.624,1.32,,,,,,,271.0,1.1,0.0203,0.844,0.0147,
430.0,187.36,1.29272,,,,,,,247.0,1.15,0.0193,0.888,0.0159,
435.0,186.832,1.3024,,,,,,,242.0,1.11,0.0178,0.8146,0.0143,
440.0,186.392,1.2962400000000005,,,,,,,244.0,0.96,0.014,0.7012,0.0125,
445.0,186.04,1.3006400000000002,,,,,,,259.0,1.08,0.0162,0.8324,0.0134,
450.0,185.336,1.3323200000000002,,,,,,,279.0,1.23,0.016,0.8822,0.0148,
455.0,185.336,1.3332000000000002,,,,,,,285.0,1.4,0.0172,0.971,0.0153,
460.0,184.808,1.38336,,,,,,,288.0,1.37,0.0172,0.959,0.0154,
465.0,184.456,1.41328,,,,,,,287.0,1.19,0.0144,0.8329,0.0143,
470.0,183.928,1.45728,,,,,,,302.0,1.18,0.0145,0.8398,0.0131,
475.0,183.576,1.48632,,,,,,,314.0,1.13,0.0133,0.7898,0.0115,
480.0,182.96,1.5444,,,,,,,327.0,1.28,0.0161,0.9326,0.0122,
485.0,182.432,1.5734400000000002,,,,,,,332.0,1.35,0.0164,0.9597,0.0129,
490.0,182.344,1.6183200000000002,,,,,,,319.0,1.44,0.018,0.9465,0.0128,
495.0,181.816,1.67992,,,,,,,313.0,1.36,0.0167,0.9111,0.0125,
500.0,181.288,1.6878400000000002,,,,,,,314.0,1.01,0.0125,0.6431,0.0095,
505.0,180.76,1.75472,,,,,,,325.0,1.01,0.0127,0.6549,0.0095,
510.0,179.70399999999998,1.782,,,,,,,341.0,1.12,0.0143,0.708,0.0103,
515.0,179.528,1.83392,,,,,,,340.0,1.2,0.0154,0.7633,0.0109,
520.0,179.0,1.85504,,,,,,,339.0,1.41,0.018,0.8762,0.0104,
525.0,178.47199999999998,1.9052,,,,,,,341.0,1.17,0.0149,0.7289,0.0085,
530.0,177.856,1.93424,,,,,,,339.0,1.22,0.0154,0.7379,0.0076,
535.0,177.152,1.93512,,,,,,,340.0,1.28,0.0159,0.7697,0.0079,
540.0,176.79999999999998,1.95624,,,,,,,338.0,1.2,0.0157,0.747,0.0076,
545.0,176.272,1.9316,,,,,,,348.0,1.34,0.0175,0.82,0.0083,
550.0,175.56799999999998,1.91664,,,,,,,365.0,1.32,0.0169,0.817,0.0079,
555.0,175.30399999999997,1.89552,,,,,,,378.0,1.5,0.0195,0.9662,0.0095,
560.0,174.77599999999998,1.8999200000000005,,,,,,,388.0,1.76,0.022,1.123,0.0117,
565.0,174.42399999999998,1.88232,,,,,,,375.0,1.62,0.0199,0.9788,0.0091,
570.0,174.072,1.90872,,,,,,,357.0,1.57,0.0179,0.9486,0.0089,
575.0,173.63199999999998,1.93248,,,,,,,350.0,1.31,0.0149,0.7853,0.0075,
580.0,173.10399999999998,1.95976,,,,,,,356.0,1.17,0.0129,0.7171,0.0064,
585.0,172.39999999999998,1.99496,,,,,,,368.0,1.31,0.0142,0.7982,0.0071,
590.0,171.784,2.0363200000000004,,,,,,,385.0,1.58,0.0161,0.9449,0.0068,
595.0,171.608,2.0398400000000003,,,,,,,392.0,1.62,0.0166,0.9496,0.0069,
600.0,171.16799999999998,2.10232,,,,,,,392.0,1.7,0.017,1.0049,0.0069,
605.0,170.552,2.1322400000000004,,,,,,,405.0,1.54,0.0154,0.8684,0.0058,
610.0,170.28799999999998,2.16392,,,,,,,410.0,1.48,0.0144,0.8462,0.0055,
615.0,169.76,2.17536,,,,,,,416.0,1.59,0.0157,0.9769,0.0053,
620.0,169.14399999999998,2.19296,,,,,,,418.0,1.55,0.0144,0.8834,0.0052,
625.0,168.88,2.21848,,,,,,,420.0,1.57,0.0147,0.8876,0.005,
630.0,168.35199999999998,2.2756800000000004,,,,,,,438.0,1.54,0.0141,0.8726,0.0048,
635.0,167.82399999999998,2.2572,,,,,,,476.0,1.58,0.0143,0.8966,0.0051,
640.0,167.296,2.2334400000000003,,,,,,,509.0,1.76,0.0163,0.9806,0.0054,
645.0,167.12,2.22288,,,,,,,514.0,2.05,0.0189,1.1291,0.0055,
650.0,166.67999999999998,2.20968,,,,,,,511.0,2.17,0.0201,1.1729,0.0062,
655.0,166.416,2.16128,,,,,,,503.0,1.84,0.0176,1.0091,0.0049,
660.0,165.97599999999997,2.17536,,,,,,,494.0,1.71,0.0171,0.9606,0.0046,
665.0,165.624,2.11112,,,,,,,467.0,1.78,0.0179,0.948,0.0046,
670.0,165.18399999999997,2.02928,,,,,,,449.0,1.77,0.0177,0.9483,0.0045,
675.0,165.00799999999998,1.97736,,,,,,,437.0,1.55,0.0163,0.8619,0.0039,
680.0,164.56799999999998,1.93688,,,,,,,447.0,1.76,0.0177,0.9532,0.0043,
685.0,164.04,1.85416,,,,,,,476.0,1.69,0.018,0.9129,0.0042,
690.0,164.04,1.848,,,,,,,463.0,1.96,0.021,1.0691,0.005,
695.0,163.59999999999997,1.79256,,,,,,,451.0,2.35,0.0241,1.2202,0.0055,
700.0,163.42399999999998,1.78376,,,,,,,450.0,1.62,0.0173,0.9352,0.004,
705.0,163.16,1.72392,,,,,,,446.0,1.76,0.0186,0.9784,0.0042,
710.0,162.63199999999998,1.69048,,,,,,,440.0,1.75,0.019,0.9141,0.0042,
715.0,162.54399999999998,1.6588,,,,,,,420.0,1.87,0.0205,0.998,0.0047,
720.0,162.19199999999998,1.6086400000000003,,,,,,,425.0,1.84,0.0213,0.9751,0.0048,
725.0,162.016,1.57696,,,,,,,415.0,1.68,0.0196,0.8631,0.0046,
730.0,161.664,1.4995200000000002,,,,,,,422.0,1.87,0.0226,1.014,0.0057,
735.0,161.39999999999998,1.47488,,,,,,,426.0,1.74,0.0209,0.9087,0.0055,
740.0,161.31199999999998,1.40888,,,,,,,420.0,2.02,0.0248,1.0964,0.0058,
745.0,160.872,1.3279200000000002,,,,,,,398.0,2.11,0.0271,1.1598,0.007,
750.0,160.872,1.29712,,,,,,,344.0,2.06,0.0268,1.1434,0.0073,
755.0,160.69599999999997,1.232,,,,,,,291.0,1.75,0.0242,1.0027,0.0067,
760.0,160.51999999999998,1.18008,,,,,,,243.0,1.12,0.0155,0.6431,0.005,
765.0,160.07999999999998,1.12024,,,,,,,226.0,0.9,0.0137,0.5173,0.0047,
770.0,159.72799999999998,1.04984,,,,,,,240.0,1.03,0.0159,0.5506,0.0058,
775.0,159.37599999999998,1.01112,,,,,,,259.0,1.71,0.0266,0.9786,0.0096,
780.0,159.37599999999998,0.94072,,,,,,,237.0,2.76,0.0461,1.5769,0.0181,
785.0,159.37599999999998,0.90552,,,,,,,,,,,,
790.0,159.28799999999998,0.8624,,,,,,,183.0,1.77,0.0313,0.9415,0.0145,
795.0,159.112,0.80168,,,,,,,185.0,1.29,0.0243,0.6982,0.0109,
800.0,158.84799999999998,0.7691200000000001,,,,,,,256.0,1.4,0.028,0.794,0.0156,
805.0,158.672,0.7128,,,,,,,,,,,,
810.0,158.76,0.6881600000000001,,,,,,,,,,,,
815.0,158.84799999999998,0.64944,,,,,,,,,,,,
820.0,158.672,0.6063200000000001,,,,,,,217.0,1.86,0.045,0.9901,0.0293,
825.0,158.672,0.56144,,,,,,,171.0,1.14,0.03,0.6175,0.0291,
830.0,158.32,0.52976,,,,,,,166.0,1.5,0.0378,0.7306,0.0385,
835.0,158.32,0.484,,,,,,,,,,,,
840.0,158.32,0.44,,,,,,,,,,,,
845.0,158.32,0.41536,,,,,,,,,,,,
850.0,158.32,0.4021600000000001,,,,,,,,,,,,
855.0,158.14399999999998,0.39688,,,,,,,44.0,1.36,0.0344,0.5969,0.0378,
860.0,158.05599999999998,0.40128,,,,,,,35.0,1.45,0.0379,0.5472,0.04,
865.0,157.968,0.38984,,,,,,,27.0,1.13,0.0271,0.5009,0.0245,
870.0,157.968,0.3784,,,,,,,,,,,,
875.0,157.616,0.36784,,,,,,,,,,,,
880.0,157.79199999999997,0.36696,,,,,,,,,,,,
885.0,157.79199999999997,0.35992,,,,,,,,,,,,
890.0,157.528,0.36872,,,,,,,53.0,1.19,0.0285,0.3959,0.0196,
895.0,157.528,0.36168,,,,,,,,,,,,
900.0,157.35199999999998,0.3608,,,,,,,,,,,,
905.0,157.528,0.34496,,,,,,,,,,,,
910.0,157.44,0.33352,,,,,,,,,,,,
915.0,157.35199999999998,0.34672,,,,,,,52.0,1.28,0.0301,0.3363,0.0148,
920.0,157.26399999999998,0.32384,,,,,,,,,,,,
925.0,157.088,0.33792,,,,,,,,,,,,
930.0,157.26399999999998,0.33264,,,,,,,,,,,,
935.0,157.176,0.32736,,,,,,,,,,,,
940.0,157.0,0.32472,,,,,,,,,,,,
945.0,157.0,0.3256,,,,,,,,,,,,
950.0,157.0,0.31592,,,,,,,,,,,,
955.0,156.91199999999998,0.31944,,,,,,,,,,,,
960.0,156.91199999999998,0.30976,,,,,,,,,,,,
965.0,156.82399999999998,0.32384,,,,,,,,,,,,
970.0,156.82399999999998,0.3106399999999999,,,,,,,32.0,1.07,0.0337,0.1544,0.0102,
975.0,156.64799999999997,0.2992,,,,,,,,,,,,
980.0,156.56,0.308,,,,,,,,,,,,
985.0,156.56,0.3106399999999999,,,,,,,,,,,,
990.0,156.64799999999997,0.3036,,,,,,,59.0,0.84,0.0223,0.1576,0.0057,
995.0,156.56,0.29568,,,,,,,,,,,,
1000.0,156.47199999999998,0.30096,,,,,,,,,,,,
