Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),Extinction Area (m2/kg),CO2 (kg/kg),CO (kg/kg),H2O (kg/kg),H'carbs (kg/kg),HCl (kg/kg)
0.0,216.2,,,,,,,,,,,,,
5.0,216.2,,,,,,,,,,,,,
10.0,216.024,,,,,,,,,,,,,
15.0,216.288,0.0572,,,,,,,86.0,1.63,0.0004,0.8475,0.0003,
20.0,215.584,0.8254400000000001,,,,,,,124.0,1.47,0.0016,0.7092,0.0002,
25.0,214.88,1.49336,,,,,,,161.0,1.09,0.0012,0.5839,0.0001,
30.0,214.44,1.6878400000000002,,,,,,,199.0,1.16,0.0033,0.6866,0.0001,
35.0,213.912,1.7248,,,,,,,236.0,1.15,0.0031,0.6782,0.0001,
40.0,213.296,1.8022400000000005,,,,,,,274.0,1.14,0.0056,0.6741,0.0001,
45.0,212.504,1.87088,,,,,,,311.0,1.26,0.0059,0.7769,0.0001,
50.0,211.976,2.01608,,,,,,,351.0,1.39,0.0095,0.9001,0.0001,
55.0,211.536,2.0442400000000003,,,,,,,371.0,1.33,0.0097,0.8716,0.0001,
60.0,211.096,1.95536,,,,,,,401.0,1.13,0.0118,0.7792,0.0001,
65.0,210.392,1.7952,,,,,,,445.0,1.02,0.0122,0.7287,0.0001,
70.0,209.688,1.66408,,,,,,,478.0,1.08,0.015,0.7708,0.0001,
75.0,209.512,1.53912,,,,,,,491.0,1.4,0.0195,0.9156,0.0002,
80.0,209.072,1.43352,,,,,,,473.0,1.27,0.0207,0.9606,0.0002,
85.0,208.808,1.33672,,,,,,,448.0,1.16,0.0209,0.8837,0.0002,
90.0,208.28,1.2258400000000005,,,,,,,417.0,1.04,0.0169,0.7652,0.0002,
95.0,208.104,1.1378400000000002,,,,,,,374.0,1.07,0.0175,0.7462,0.0002,
100.0,207.488,1.05776,,,,,,,326.0,0.98,0.0144,0.7544,0.0002,
105.0,207.4,0.98736,,,,,,,280.0,0.92,0.0142,0.7713,0.0002,
110.0,206.96,0.92576,,,,,,,261.0,0.99,0.0107,0.7754,0.0002,
115.0,206.696,0.8580000000000001,,,,,,,223.0,1.1,0.0134,0.8291,0.0003,
120.0,206.256,0.80608,,,,,,,187.0,1.44,0.0134,1.0902,0.0005,
125.0,206.432,0.7392000000000001,,,,,,,150.0,1.08,0.0112,0.9233,0.0004,
130.0,206.256,0.68904,,,,,,,126.0,1.13,0.0063,0.83,0.0004,
135.0,205.728,0.6424000000000001,,,,,,,109.0,0.94,0.0055,0.6804,0.0003,
140.0,205.64,0.6089600000000001,,,,,,,99.0,1.14,0.0037,0.8532,0.0004,
145.0,205.64,0.5966400000000001,,,,,,,92.0,1.21,0.0038,0.8078,0.0004,
150.0,205.376,0.6089600000000001,,,,,,,96.0,1.25,0.0024,0.8373,0.0004,
155.0,204.848,0.6283200000000001,,,,,,,111.0,1.15,0.0021,0.7485,0.0003,
160.0,205.024,0.67056,,,,,,,118.0,1.17,0.0022,0.8111,0.0004,
165.0,204.672,0.70224,,,,,,,147.0,1.31,0.0022,0.8912,0.0004,
170.0,204.32,0.74624,,,,,,,176.0,0.91,0.0018,0.574,0.0002,
175.0,204.144,0.8096000000000001,,,,,,,207.0,1.28,0.0025,0.8641,0.0003,
180.0,203.704,0.85184,,,,,,,260.0,1.24,0.0037,0.827,0.0003,
