Time (s),Mass (g),HRR (kW),MFR (kg/s),T Duct (K),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),K Smoke (1/m),Extinction Area (m2/kg),CO2 (kg/kg),CO (kg/kg),H2O (kg/kg),H'carbs (kg/kg),HCl (kg/kg)
185.0,203.88,0.8597600000000001,,,,,,,263.0,1.2,0.0037,0.8047,0.0003,
190.0,203.264,0.8624,,,,,,,259.0,1.58,0.0068,1.1095,0.0004,
195.0,203.088,0.82984,,,,,,,232.0,1.16,0.0052,0.7957,0.0003,
200.0,203.088,0.7867200000000001,,,,,,,197.0,1.36,0.0061,0.9466,0.0004,
205.0,202.736,0.7392000000000001,,,,,,,169.0,0.97,0.0045,0.7201,0.0003,
210.0,202.472,0.70664,,,,,,,171.0,0.86,0.0039,0.7072,0.0002,
215.0,202.032,0.71544,,,,,,,164.0,1.09,0.0041,0.778,0.0003,
220.0,201.944,0.7497600000000001,,,,,,,162.0,1.16,0.0045,0.9906,0.0003,
225.0,201.592,0.7744000000000001,,,,,,,157.0,1.13,0.004,0.8883,0.0003,
230.0,201.504,0.7893600000000001,,,,,,,160.0,1.07,0.0036,0.8614,0.0003,
235.0,200.976,0.7735200000000001,,,,,,,176.0,0.89,0.0029,0.8114,0.0002,
240.0,200.976,0.7691200000000001,,,,,,,199.0,1.06,0.0031,0.7531,0.0002,
245.0,200.272,0.8333600000000001,,,,,,,240.0,1.07,0.0029,0.7126,0.0002,
250.0,200.272,0.89936,,,,,,,257.0,1.04,0.0041,0.6369,0.0002,
255.0,199.568,0.97064,,,,,,,279.0,1.52,0.0051,0.8218,0.0002,
260.0,199.392,1.0445600000000002,,,,,,,287.0,1.16,0.0056,0.6227,0.0002,
265.0,199.128,1.12288,,,,,,,308.0,1.13,0.0053,0.6128,0.0002,
270.0,198.248,1.22848,,,,,,,323.0,0.98,0.0068,0.5422,0.0001,
275.0,197.808,1.2830400000000002,,,,,,,336.0,1.13,0.0075,0.6034,0.0002,
280.0,197.368,1.32176,,,,,,,342.0,1.26,0.0112,0.6923,0.0002,
285.0,197.28,1.34024,,,,,,,337.0,1.3,0.0113,0.7172,0.0002,
290.0,196.4,1.3754400000000002,,,,,,,337.0,1.26,0.0124,0.6924,0.0002,
295.0,196.136,1.4520000000000002,,,,,,,334.0,1.14,0.0108,0.5811,0.0001,
300.0,195.52,1.4995200000000002,,,,,,,330.0,1.24,0.0132,0.6494,0.0001,
305.0,194.904,1.5470400000000002,,,,,,,325.0,1.16,0.0119,0.629,0.0001,
310.0,194.288,1.6086400000000003,,,,,,,315.0,1.19,0.0136,0.6464,0.0001,
315.0,193.76,1.6544,,,,,,,315.0,1.23,0.0136,0.6541,0.0001,
320.0,193.056,1.70896,,,,,,,321.0,1.12,0.0148,0.6135,0.0001,
325.0,192.528,1.7292,,,,,,,328.0,1.11,0.0145,0.6247,0.0001,
330.0,191.736,1.75296,,,,,,,335.0,1.17,0.017,0.6749,0.0001,
335.0,191.12,1.8242400000000003,,,,,,,348.0,1.19,0.0166,0.6612,0.0001,
340.0,190.592,1.9228,,,,,,,353.0,1.21,0.0171,0.6793,0.0001,
345.0,189.888,2.0152,,,,,,,359.0,1.23,0.017,0.7051,0.0001,
350.0,189.096,2.1164,,,,,,,366.0,1.29,0.0171,0.6939,0.0001,
355.0,188.656,2.19296,,,,,,,368.0,1.33,0.018,0.7381,0.0001,
360.0,187.952,2.2044,,,,,,,381.0,1.46,0.0191,0.8115,0.0001,
365.0,187.336,2.2387200000000003,,,,,,,395.0,1.27,0.0173,0.7226,0.0001,
370.0,186.984,2.20264,,,,,,,397.0,1.31,0.0176,0.7708,0.0001,
375.0,186.016,2.11112,,,,,,,422.0,1.24,0.0176,0.7393,0.0001,
380.0,185.576,2.0750400000000004,,,,,,,435.0,1.15,0.0166,0.69,0.0001,
385.0,184.96,1.97032,,,,,,,445.0,1.36,0.0207,0.8212,0.0001,
390.0,184.344,1.8392,,,,,,,448.0,1.18,0.0194,0.7179,0.0001,
395.0,184.168,1.7274400000000003,,,,,,,437.0,1.17,0.0206,0.7266,0.0001,
400.0,183.376,1.63592,,,,,,,431.0,1.16,0.0198,0.7386,0.0001,
405.0,183.024,1.5796,,,,,,,427.0,1.11,0.0188,0.6727,0.0001,
410.0,182.496,1.53384,,,,,,,433.0,1.16,0.0181,0.6919,0.0001,
415.0,181.968,1.5444,,,,,,,442.0,1.18,0.018,0.7149,0.0001,
420.0,181.352,1.53736,,,,,,,455.0,1.29,0.0177,0.764,0.0002,
425.0,181.0,1.53736,,,,,,,451.0,1.31,0.0184,0.7713,0.0002,
430.0,180.56,1.56728,,,,,,,443.0,1.32,0.0183,0.7805,0.0002,
435.0,180.12,1.5532,,,,,,,451.0,1.22,0.0166,0.6816,0.0001,
440.0,179.59199999999998,1.5708000000000002,,,,,,,448.0,1.12,0.0154,0.6754,0.0001,
445.0,179.064,1.6016,,,,,,,448.0,1.24,0.0167,0.7072,0.0001,
450.0,178.44799999999998,1.6130400000000005,,,,,,,448.0,1.19,0.016,0.6802,0.0001,
455.0,178.272,1.61568,,,,,,,451.0,1.25,0.017,0.7293,0.0002,
460.0,177.48,1.6218400000000002,,,,,,,469.0,1.19,0.0162,0.681,0.0001,
465.0,177.128,1.63592,,,,,,,483.0,1.22,0.0159,0.6728,0.0001,
470.0,176.42399999999998,1.6852,,,,,,,491.0,1.36,0.0184,0.7633,0.0002,
475.0,176.16,1.6368,,,,,,,488.0,1.32,0.018,0.7222,0.0001,
480.0,175.54399999999998,1.6720000000000002,,,,,,,479.0,1.34,0.0193,0.7401,0.0002,
485.0,175.19199999999998,1.6544,,,,,,,473.0,1.21,0.0173,0.649,0.0001,
490.0,174.57599999999996,1.65088,,,,,,,478.0,1.18,0.0171,0.6442,0.0001,
495.0,174.048,1.6368,,,,,,,481.0,1.16,0.017,0.6274,0.0001,
500.0,173.51999999999998,1.6192000000000002,,,,,,,471.0,1.22,0.0187,0.6734,0.0001,
505.0,173.07999999999998,1.6139200000000002,,,,,,,462.0,1.3,0.0196,0.7093,0.0002,
510.0,172.64,1.60424,,,,,,,465.0,1.21,0.0183,0.6542,0.0001,
515.0,172.112,1.59456,,,,,,,473.0,1.19,0.0175,0.6433,0.0001,
520.0,171.49599999999998,1.60776,,,,,,,481.0,1.26,0.0193,0.672,0.0001,
525.0,170.968,1.606,,,,,,,477.0,1.3,0.0208,0.707,0.0002,
530.0,170.70399999999998,1.58752,,,,,,,465.0,1.29,0.0203,0.6981,0.0002,
535.0,170.176,1.5576,,,,,,,465.0,1.16,0.0189,0.6568,0.0001,
540.0,169.56,1.52856,,,,,,,485.0,1.11,0.0176,0.6012,0.0001,
545.0,169.12,1.5312,,,,,,,506.0,1.23,0.0197,0.6834,0.0002,
550.0,168.59199999999998,1.5382400000000005,,,,,,,536.0,1.42,0.0219,0.7717,0.0002,
555.0,168.32799999999995,1.5215200000000002,,,,,,,552.0,1.56,0.0232,0.8122,0.0002,
560.0,167.97599999999997,1.54176,,,,,,,558.0,1.62,0.0228,0.8716,0.0002,
565.0,167.53599999999997,1.52768,,,,,,,558.0,1.48,0.021,0.8046,0.0002,
570.0,167.272,1.53472,,,,,,,549.0,1.33,0.0183,0.734,0.0002,
575.0,166.74399999999997,1.55232,,,,,,,560.0,1.41,0.0183,0.7485,0.0002,
580.0,166.21599999999998,1.5602400000000003,,,,,,,577.0,1.24,0.0166,0.6968,0.0002,
585.0,165.952,1.5963200000000002,,,,,,,606.0,1.39,0.0187,0.7538,0.0002,
590.0,165.33599999999998,1.62624,,,,,,,629.0,1.54,0.0205,0.8607,0.0002,
595.0,165.16,1.6447200000000002,,,,,,,624.0,1.75,0.0225,0.9191,0.0002,
600.0,164.72,1.6702400000000002,,,,,,,640.0,1.6,0.0222,0.8354,0.0002,
605.0,164.54399999999998,1.69752,,,,,,,667.0,1.27,0.0181,0.6739,0.0002,
610.0,163.83999999999995,1.7028,,,,,,,730.0,1.42,0.0205,0.7456,0.0002,
615.0,163.39999999999998,1.7362400000000002,,,,,,,734.0,1.56,0.0222,0.8189,0.0002,
620.0,163.224,1.74768,,,,,,,717.0,1.93,0.0283,1.0137,0.0002,
625.0,162.872,1.75736,,,,,,,706.0,1.48,0.0222,0.7635,0.0002,
630.0,162.51999999999998,1.73976,,,,,,,729.0,1.31,0.0198,0.7172,0.0002,
635.0,161.72799999999998,1.75208,,,,,,,779.0,1.4,0.0211,0.7119,0.0002,
640.0,161.552,1.73448,,,,,,,771.0,1.57,0.0248,0.8207,0.0002,
645.0,161.2,1.74504,,,,,,,775.0,1.85,0.0289,0.9407,0.0002,
650.0,160.93599999999998,1.7142400000000002,,,,,,,772.0,1.49,0.0231,0.7412,0.0002,
655.0,160.408,1.6984,,,,,,,838.0,1.55,0.0239,0.7419,0.0002,
660.0,159.968,1.66848,,,,,,,907.0,1.49,0.0238,0.8056,0.0002,
665.0,159.79199999999997,1.63592,,,,,,,928.0,1.86,0.0305,1.013,0.0003,
670.0,159.44,1.5972000000000002,,,,,,,956.0,2.0,0.0305,1.0254,0.0003,
675.0,159.26399999999998,1.5382400000000005,,,,,,,956.0,1.69,0.0282,0.8796,0.0003,
680.0,158.91199999999998,1.48896,,,,,,,930.0,1.68,0.0276,0.9575,0.0003,
685.0,158.64799999999997,1.4238400000000002,,,,,,,876.0,1.7,0.0263,0.9265,0.0003,
690.0,158.47199999999998,1.38336,,,,,,,859.0,1.49,0.0205,0.8528,0.0003,
695.0,158.20799999999997,1.32176,,,,,,,841.0,1.36,0.0195,0.7751,0.0002,
700.0,157.768,1.2742400000000005,,,,,,,843.0,1.57,0.0206,0.8964,0.0003,
705.0,157.504,1.22936,,,,,,,824.0,1.7,0.0214,0.9237,0.0003,
710.0,157.504,1.1871200000000002,,,,,,,780.0,1.83,0.0194,0.9748,0.0004,
715.0,157.23999999999998,1.1343200000000002,,,,,,,768.0,1.6,0.0183,0.9344,0.0003,
720.0,156.88799999999998,1.08416,,,,,,,764.0,1.42,0.0155,0.8295,0.0003,
725.0,156.79999999999998,1.05072,,,,,,,727.0,1.73,0.0165,0.8704,0.0004,
730.0,156.53599999999997,1.00848,,,,,,,718.0,1.91,0.0187,0.993,0.0004,
735.0,156.36,0.98208,,,,,,,733.0,1.6,0.0136,0.8882,0.0004,
740.0,156.18399999999997,0.93368,,,,,,,687.0,2.06,0.0167,1.0052,0.0005,
745.0,156.00799999999998,0.90464,,,,,,,674.0,2.24,0.016,1.1453,0.0006,
750.0,156.00799999999998,0.8703200000000001,,,,,,,643.0,1.7,0.0104,0.8037,0.0005,
755.0,155.832,0.8254400000000001,,,,,,,566.0,2.11,0.013,1.0719,0.0006,
760.0,155.47999999999996,0.7849600000000001,,,,,,,514.0,1.65,0.0123,0.9498,0.0006,
765.0,155.56799999999998,0.7691200000000001,,,,,,,426.0,1.42,0.0076,0.7172,0.0004,
770.0,155.392,0.73216,,,,,,,357.0,1.73,0.01,0.8487,0.0006,
775.0,155.04,0.6793600000000001,,,,,,,317.0,1.09,0.0051,0.4697,0.0003,
780.0,155.128,0.6635200000000001,,,,,,,279.0,1.39,0.0069,0.6348,0.0005,
785.0,154.688,0.6327200000000001,,,,,,,242.0,1.58,0.0089,0.8402,0.0007,
790.0,154.77599999999998,0.59048,,,,,,,229.0,1.57,0.0082,0.6519,0.0006,
795.0,154.6,0.5482400000000001,,,,,,,217.0,1.8,0.0087,0.7554,0.0007,
800.0,154.512,0.5192,,,,,,,,,,,,
805.0,154.248,0.49456,,,,,,,,,,,,
810.0,154.6,0.47256,,,,,,,,,,,,
815.0,154.248,0.44176,,,,,,,,,,,,
820.0,154.072,0.42064,,,,,,,87.0,1.5,0.0084,0.6829,0.0007,
825.0,154.248,0.41008,,,,,,,62.0,2.19,0.0115,0.6059,0.0009,
830.0,153.98399999999998,0.39864,,,,,,,44.0,1.71,0.0091,0.3453,0.0007,
835.0,153.808,0.39424,,,,,,,34.0,0.98,0.0072,0.2167,0.0005,
840.0,153.71999999999997,0.38984,,,,,,,29.0,1.59,0.0113,0.324,0.0008,
845.0,153.54399999999998,0.37752,,,,,,,,,,,,
850.0,153.63199999999998,0.3696,,,,,,,,,,,,
855.0,153.456,0.36168,,,,,,,,,,,,
860.0,153.456,0.35024,,,,,,,,,,,,
865.0,153.54399999999998,0.33968,,,,,,,,,,,,
870.0,153.63199999999998,0.33968,,,,,,,,,,,,
875.0,153.10399999999998,0.33792,,,,,,,6.0,1.22,0.016,0.2979,0.0007,
880.0,153.27999999999997,0.34144,,,,,,,0.0,1.05,0.0139,0.2392,0.0006,
885.0,153.19199999999998,0.33264,,,,,,,-6.0,0.23,0.0044,0.0638,0.0002,
890.0,152.664,0.33264,,,,,,,,,,,,
